chunk_id,text
chunk_0,"Official Baggage & Cargo Policy 
Document Reference: GSA-POL-2026-B 
Revision: 4.2 
Status: Active 
1. Carry-On Regulations 
Global Sky Airways (GSA) enforces strict carry-on limits to ensure cabin safety and 
overhead bin availability. 
1.1 Standard Allowance 
All passengers (except Basic Economy) are permitted one (1) carry-on bag and one (1) 
personal item. 
• Storage: Carry-on bags must be stored in the overhead bin. Personal items must"
chunk_1,"fit entirely under the seat in front of the passenger. 
• Gate Checking: If the flight is at capacity, GSA reserves the right to move carry-
on bags to the cargo hold at no extra charge. 
1.2 Exempt Items 
The following do not count toward a passenger's carry-on allowance: 
• Assistive devices (wheelchairs, canes, walkers). 
• Outerwear (coats, hats). 
• Duty-free items purchased at the airport. 
• Child restraint systems (car seats) or strollers. 
2. Checked Baggage & Fare Tiers"
chunk_2,"2. Checked Baggage & Fare Tiers 
       Allowance is determined by the ""Most Restrictive"" fare rule in the itinerary. 
   
 
    2.1 Fee Structure by Route"
chunk_3,"Route 1st Bag Fee 2nd Bag Fee Max Weight 
Domestic (US/Canada) $35 USD $45 USD 50 lbs (23 kg) 
International (Short-haul) $55 USD $70 USD 50 lbs (23 kg) 
International (Long-haul) Included $100 USD 50 lbs (23 kg) 
    
 
2.2 Elite Status Benefits 
Global Sky ""Star-Tier"" members receive additional benefits: 
• Silver Members: One extra bag up to 50 lbs free. 
• Gold/Platinum Members: Two extra bags up to 70 lbs free. 
 
3. Specialized Luggage & Equipment 
3.1 Fragile & High-Value Items"
chunk_4,"3.1 Fragile & High-Value Items 
GSA is not liable for damage to fragile items. We recommend ""Excess Valuation"" insurance 
for items valued over $3,500. 
3.2 Musical Instruments 
• Small: Violins and trumpets may be carried on as the passenger's one carry-on bag. 
• Large: Harps and Double Basses must be checked. They are subject to a $150 USD 
""Special Handling"" fee. 
3.3 Sports Equipment 
• Scuba Gear: Tanks must be empty (valves open)."
chunk_5,"• Scuba Gear: Tanks must be empty (valves open). 
• Ski/Snowboard: One pair of skis/boots/poles counts as one bag. 
• Bicycles: Must be non-motorized. A $120 USD flat fee applies for international 
transport. 
 
4. Dangerous Goods & Restricted Articles"
chunk_6,"4.1 Lithium Ion Batteries 
• Installed in Devices: Allowed in checked/carry-on (under 100 Wh). 
• Spare Batteries: Strictly PROHIBITED in checked luggage. Must be in carry-on. 
4.2 Prohibited Liquids & Chemicals 
• Self-Defense: Mace or pepper spray is prohibited in the cabin. One 4 fl oz (118 ml) 
container is permitted in checked bags only. 
 
5. Delayed, Damaged, or Lost Baggage 
5.1 Reporting Windows 
• Domestic Flights: Report within 4 hours of arrival."
chunk_7,"• International Flights: Report within 7 days for damaged bags; 21 days for delayed 
bags. 
5.2 Compensation (The Montreal Convention) 
Liability for international travel is limited to 1,288 Special Drawing Rights (SDR) per 
passenger."
chunk_8,"Cancellation & Refund Policy 
Document Reference: GSA-REFUND-2026-C 
Effective Date: January 1, 2026 
Applicability: All Domestic and International Flight Segments 
1. The ""24-Hour Risk-Free"" Window 
In accordance with federal aviation standards, Global Sky Airways offers a 100% refund 
for any ticket canceled within 24 hours of purchase, provided the booking was made at 
least seven (7) days prior to the scheduled departure. 
• Eligibility: All fare classes (including Basic Economy)."
chunk_9,"• Process: Refunds are automatically credited to the original payment method. 
• Exceptions: Group bookings (10+ passengers) and tickets purchased using 
travel vouchers. 
 
2. Cancellation Fees by Fare Tier 
If a cancellation occurs outside the 24-hour risk-free window, fees are determined by 
the fare type purchased. 
Fare Class Cancellation Fee 
(Domestic) 
Cancellation Fee 
(Intl) Refund Type 
Basic Economy Not Permitted Not Permitted No Refund 
Economy"
chunk_10,"Economy 
Standard $99 USD $199 USD Travel Credit 
Economy Flex $0 USD $50 USD Original 
Payment 
Business/First $0 USD $0 USD Original 
Payment 
Note: For ""Travel Credit"" refunds, the credit is valid for 12 months from the original date 
of issue and is non-transferable. 
 
3. Involuntary Cancellations (Airline Initiated)"
chunk_11,"If Global Sky Airways cancels a flight or makes a significant schedule change, 
passengers are entitled to specific protections. 
3.1 Significant Schedule Change 
A ""Significant Change"" is defined as: 
1. A delay of more than 3 hours for domestic flights. 
2. A delay of more than 6 hours for international flights. 
3. A change in the arrival or departure airport. 
4. A change in the number of connecting stops. 
3.2 Passenger Options"
chunk_12,"3.2 Passenger Options 
In the event of an involuntary cancellation or significant change, passengers may 
choose: 
• Option A: Rebooking on the next available flight at no additional cost. 
• Option B: A full refund to the original payment method, regardless of fare class. 
• Option C: A travel voucher worth 110% of the original ticket value. 
 
4. Refund Processing Timelines 
Refunds are processed based on the payment method used at the time of booking: 
• Credit Card: 7–10 business days."
chunk_13,"• Credit Card: 7–10 business days. 
• Debit Card/Cash: 20 business days. 
• Travel Vouchers: Instant issuance to the passenger's Global Sky account. 
 
5. Special Waivers & Exceptions 
Global Sky Airways provides fee waivers (refunds in the form of travel credit) for the 
following documented cases: 
5.1 Medical Emergencies 
A refund or fee waiver may be granted if the passenger or an immediate family member 
(spouse, child, parent) experiences a medical emergency."
chunk_14,"• Required Docs: A signed letter from a licensed physician on hospital letterhead. 
5.2 Military Orders"
chunk_15,"Active-duty military personnel who receive deployment or relocation orders after 
booking are eligible for a full refund. 
• Required Docs: A copy of the official military orders. 
 
6. No-Show Policy 
If a passenger fails to board their flight without canceling at least 2 hours prior to 
departure: 
• The ticket is considered ""forfeited. "" 
• No refund or travel credit will be issued. 
• All remaining segments on the itinerary (including return flights) will be 
automatically canceled."
chunk_16,"automatically canceled. 
 
Internal RAG Metadata (Hidden/Reference) 
• Keyword Tags: Refund, cancellation fee, 24-hour rule, involuntary change, 
schedule delay, medical waiver, no-show. 
• Entity Mapping: [Basic Economy -> Non-refundable], [Flex -> Refundable], 
[Schedule Change -> 3 hours]. 
• Compliance: DOT 2026 Passenger Protection Act."
chunk_17,"Check-in & Airport Procedures 
Document Reference: GSA-CKI-2026-D 
Last Updated: January 2026 
Status: Mandatory Regulatory Guidance 
1. Check-in Methods & Availability 
Global Sky Airways provides three primary ways to check in. To avoid long queues, 
passengers are encouraged to use digital channels. 
1.1 Mobile & Web Check-in 
• Opening Window: 48 hours prior to scheduled departure. 
• Closing Window: 60 minutes prior to departure."
chunk_18,"• Closing Window: 60 minutes prior to departure. 
• Benefit: Digital boarding passes are issued instantly to the GSA App or email. 
1.2 Airport Kiosk & Counter 
• Kiosk: Available for all domestic flights. Closes 45 minutes before departure. 
• Full-Service Counter: Mandatory for passengers with ""Special Service 
Requests"" (SSR) or those traveling with pets. 
 
2. Check-in & Bag Drop Deadlines 
Deadlines are strictly enforced. Failure to meet these times will result in a ""No-Show"" 
status."
chunk_19,"status. 
Flight Type Recommended 
Arrival 
Check-in/Bag Drop 
Closes 
Boarding Gate 
Closes 
Domestic 2 Hours Before 45 Minutes Before 15 Minutes Before 
International 3 Hours Before 60 Minutes Before 30 Minutes Before 
High-Security 
Areas* 4 Hours Before 90 Minutes Before 45 Minutes Before 
Note: ""High-Security Areas"" include flights departing to/from specific regions as 
designated by IATA. Check your booking confirmation for specific alerts. 
 
3. Required Travel Documents (2026 Standards)"
chunk_20,"Security requirements have changed as of May 2025. Ensure you have the following: 
3.1 Domestic Travel (Within USA) 
• REAL ID Compliance: All passengers aged 18+ must present a REAL ID-
compliant driver's license or a valid passport. 
• TSA ConfirmID: Passengers without a REAL ID may utilize the ""TSA ConfirmID"" 
biometric verification for a $45 fee (valid for 10 days). 
3.2 International Travel 
• Passport: Must be valid for at least 6 months beyond the date of return."
